"age","job","marital","education","default","balance","housing","loan","poutcome","y"
"30s","technician","married","secondary","no","Negative","no","no","unknown","no"
"30s","technician","married","tertiary","no","Low","no","no","unknown","yes"
"50s","retired","married","secondary","no","Medium","yes","yes","unknown","no"
"40s","technician","divorced","secondary","no","Negative","yes","no","unknown","no"
"40s","management","married","tertiary","no","Medium","no","no","unknown","no"
"40s","admin.","married","secondary","no","Medium","no","no","unknown","no"
"30s","entrepreneur","married","tertiary","no","Low","no","no","unknown","no"
"50s","admin.","married","primary","no","Low","no","no","unknown","no"
"40s","admin.","married","secondary","no","Negative","no","no","unknown","no"
"30s","management","single","tertiary","no","Low","yes","no","unknown","no"
"40s","management","single","secondary","no","Low","no","yes","unknown","no"
"40s","technician","married","tertiary","no","Medium","no","no","unknown","no"
"20s","technician","married","secondary","no","Low","no","yes","unknown","no"
"40s","technician","married","secondary","no","Medium","no","no","unknown","no"
"50s","retired","married","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","secondary","no","Medium","no","no","unknown","no"
"30s","self-employed","married","secondary","no","Low","no","no","unknown","no"
"30s","technician","married","secondary","no","High","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","no","no","unknown","no"
"50s","retired","married","tertiary","no","Medium","no","no","unknown","no"
"40s","services","married","primary","no","Low","no","no","unknown","no"
"50s","blue-collar","married","unknown","no","Medium","no","no","unknown","no"
"50s","technician","married","tertiary","no","Low","no","yes","unknown","yes"
"40s","services","married","secondary","no","Negative","no","no","unknown","no"
"40s","technician","married","tertiary","no","Medium","no","no","unknown","yes"
"50s","management","married","tertiary","no","Medium","no","yes","unknown","no"
"40s","admin.","married","secondary","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","Extra","no","no","unknown","no"
"50s","technician","single","secondary","no","Low","no","no","unknown","no"
"30s","technician","married","tertiary","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","High","no","no","unknown","no"
"50s","management","married","tertiary","no","Negative","no","no","unknown","no"
"50s","management","married","tertiary","no","Medium","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","no","no","unknown","no"
"50s","services","married","secondary","no","Low","no","no","unknown","no"
"50s","technician","married","tertiary","no","Low","no","no","unknown","no"
"50s","technician","divorced","secondary","no","Low","yes","no","unknown","yes"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","no","no","unknown","no"
"20s","management","single","tertiary","no","Low","yes","no","unknown","no"
"30s","technician","married","tertiary","no","Low","no","no","unknown","no"
"40s","management","married","tertiary","no","Low","no","yes","unknown","no"
"30s","management","divorced","tertiary","no","Low","no","yes","unknown","no"
"30s","technician","divorced","secondary","no","Low","no","no","unknown","no"
"50s","technician","divorced","secondary","no","Negative","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","no","no","unknown","yes"
"40s","services","married","primary","no","Low","no","no","unknown","no"
"40s","services","married","secondary","no","Low","yes","no","unknown","no"
"30s","technician","married","tertiary","no","Medium","no","no","unknown","no"
"50s","management","divorced","tertiary","no","Medium","no","no","unknown","no"
"30s","management","single","tertiary","no","Medium","no","no","unknown","no"
"50s","retired","married","primary","no","Negative","no","no","unknown","no"
"40s","services","married","unknown","no","Low","no","no","unknown","no"
"30s","technician","married","tertiary","no","Low","no","no","unknown","no"
"50s","admin.","married","secondary","no","Medium","no","no","unknown","no"
"20s","management","single","tertiary","no","Medium","no","no","unknown","no"
"30s","self-employed","single","tertiary","no","Low","no","no","unknown","no"
"40s","management","married","tertiary","no","Low","no","no","unknown","no"
"50s","management","married","tertiary","no","Low","no","no","unknown","no"
"50s","retired","married","secondary","no","Medium","no","no","unknown","no"
"30s","technician","married","secondary","no","Low","no","no","unknown","no"
"50s","retired","married","secondary","no","Low","no","yes","unknown","no"
"50s","admin.","married","secondary","no","Negative","no","yes","unknown","no"
"30s","management","single","tertiary","no","Low","yes","no","unknown","no"
"40s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"50s","management","married","tertiary","no","Medium","no","no","unknown","no"
"40s","technician","married","secondary","no","Medium","no","no","unknown","no"
"30s","self-employed","married","primary","no","Negative","no","no","unknown","no"
"50s","retired","divorced","tertiary","no","Low","no","no","unknown","yes"
"40s","technician","married","secondary","yes","Negative","yes","no","unknown","no"
"50s","services","married","secondary","no","Low","yes","yes","unknown","no"
"40s","technician","single","secondary","no","Low","no","no","unknown","no"
"60s","retired","married","secondary","no","Low","no","no","unknown","yes"
"40s","management","divorced","tertiary","no","Medium","yes","no","unknown","no"
"40s","management","married","tertiary","no","Negative","no","no","unknown","no"
"30s","unknown","married","secondary","no","Medium","no","no","unknown","no"
"40s","blue-collar","married","unknown","no","Medium","no","no","unknown","no"
"50s","services","married","secondary","no","Low","no","no","unknown","no"
"30s","technician","single","tertiary","no","Negative","no","no","unknown","no"
"40s","admin.","married","secondary","no","Low","no","no","unknown","yes"
"30s","technician","single","tertiary","no","Low","no","yes","unknown","no"
"30s","technician","married","secondary","no","Negative","no","no","unknown","no"
"40s","admin.","married","secondary","no","Low","no","no","unknown","no"
"50s","retired","married","secondary","no","Negative","no","no","unknown","no"
"50s","self-employed","married","secondary","no","Medium","no","no","unknown","no"
"40s","technician","married","secondary","no","Medium","no","no","unknown","no"
"30s","management","married","tertiary","no","Medium","no","no","unknown","yes"
"40s","management","married","tertiary","no","Medium","no","no","unknown","no"
"40s","admin.","married","secondary","no","Low","no","no","unknown","yes"
"50s","services","married","primary","no","Low","no","no","unknown","no"
"40s","self-employed","married","secondary","no","High","yes","no","unknown","no"
"50s","management","divorced","tertiary","no","Low","no","no","unknown","no"
"40s","management","married","tertiary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","High","no","no","unknown","no"
"40s","management","divorced","tertiary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Medium","no","no","unknown","no"
"50s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"20s","self-employed","single","tertiary","no","Medium","no","no","unknown","no"
"30s","management","single","tertiary","no","Low","no","no","unknown","yes"
"50s","retired","married","secondary","no","Negative","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"30s","technician","married","secondary","no","Negative","no","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","yes","unknown","no"
"50s","housemaid","married","unknown","no","Negative","no","no","unknown","no"
"40s","management","married","tertiary","no","Medium","no","no","unknown","no"
"50s","management","divorced","tertiary","no","Low","no","no","unknown","no"
"20s","blue-collar","single","secondary","no","Medium","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"40s","management","single","tertiary","no","Medium","no","no","unknown","yes"
"30s","housemaid","married","primary","no","Low","no","no","unknown","no"
"30s","services","married","secondary","no","Medium","no","no","unknown","yes"
"40s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"30s","management","single","secondary","no","Medium","no","no","unknown","no"
"30s","management","married","tertiary","no","Medium","no","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"50s","services","married","secondary","no","Low","no","yes","unknown","no"
"30s","management","divorced","tertiary","no","Low","no","no","unknown","yes"
"40s","management","married","tertiary","no","Medium","no","no","unknown","no"
"30s","management","divorced","tertiary","yes","Low","no","no","unknown","yes"
"40s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"50s","retired","married","secondary","no","Medium","no","no","unknown","no"
"40s","management","divorced","secondary","no","Low","no","no","unknown","no"
"30s","technician","married","tertiary","no","Low","no","no","unknown","no"
"50s","services","married","secondary","yes","Negative","no","no","unknown","no"
"40s","technician","married","tertiary","no","Low","no","no","unknown","no"
"30s","housemaid","married","tertiary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","secondary","no","Negative","no","no","unknown","no"
"30s","management","married","tertiary","no","Negative","no","no","unknown","no"
"40s","management","married","tertiary","no","Low","no","yes","unknown","no"
"40s","management","divorced","tertiary","no","Low","no","no","unknown","yes"
"40s","management","married","tertiary","no","Low","no","no","unknown","no"
"30s","technician","married","tertiary","no","Low","no","no","unknown","no"
"30s","technician","divorced","secondary","no","Medium","no","no","unknown","no"
"30s","housemaid","married","secondary","no","Medium","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"40s","management","single","secondary","no","Low","no","yes","unknown","no"
"40s","self-employed","married","primary","yes","Low","no","no","unknown","no"
"40s","self-employed","married","secondary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Medium","no","no","unknown","no"
"40s","technician","married","secondary","no","Medium","no","no","unknown","no"
"50s","housemaid","married","primary","no","Low","no","no","unknown","no"
"50s","blue-collar","married","primary","no","Medium","yes","no","unknown","no"
"40s","unknown","married","unknown","no","Low","no","no","unknown","no"
"30s","management","divorced","tertiary","no","High","yes","yes","unknown","no"
"40s","technician","married","secondary","no","Medium","no","no","unknown","yes"
"40s","management","married","tertiary","no","Extra","no","no","unknown","no"
"50s","technician","married","secondary","no","Low","no","no","unknown","no"
"50s","retired","married","primary","no","Low","no","yes","unknown","no"
"20s","management","single","tertiary","no","Medium","no","no","unknown","no"
"40s","technician","married","tertiary","no","Extra","yes","no","unknown","yes"
"30s","technician","married","secondary","no","Low","no","no","unknown","no"
"40s","management","divorced","tertiary","no","Low","no","no","unknown","no"
"30s","blue-collar","married","secondary","no","Low","no","no","unknown","yes"
"50s","housemaid","single","primary","no","Low","no","no","unknown","no"
"50s","technician","married","secondary","no","Medium","no","no","unknown","no"
"30s","management","married","secondary","no","Low","no","no","unknown","no"
"50s","blue-collar","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","no","yes","unknown","no"
"30s","management","single","tertiary","no","Negative","no","no","unknown","yes"
"40s","technician","married","secondary","no","Medium","no","no","unknown","no"
"50s","technician","married","secondary","no","Medium","no","no","unknown","no"
"50s","blue-collar","married","unknown","no","High","no","no","unknown","no"
"50s","technician","married","secondary","no","Medium","no","no","unknown","no"
"40s","management","married","secondary","no","Negative","no","no","unknown","no"
"40s","management","married","tertiary","no","Negative","no","no","unknown","no"
"50s","blue-collar","married","primary","no","Medium","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","yes","unknown","no"
"30s","technician","divorced","secondary","no","Low","no","no","unknown","yes"
"30s","housemaid","married","secondary","no","Low","no","no","unknown","no"
"40s","services","married","primary","no","Low","no","no","unknown","no"
"50s","management","married","tertiary","no","Negative","no","no","unknown","no"
"50s","retired","married","secondary","no","Extra","no","yes","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"40s","management","married","tertiary","no","Negative","no","no","unknown","no"
"30s","management","married","tertiary","no","Medium","no","no","unknown","no"
"50s","retired","married","primary","no","Low","no","no","unknown","no"
"50s","retired","married","primary","no","Medium","no","yes","unknown","no"
"50s","technician","divorced","secondary","no","Low","yes","no","unknown","no"
"50s","retired","married","primary","no","Negative","yes","no","unknown","no"
"40s","technician","divorced","tertiary","no","Low","no","no","unknown","no"
"40s","services","married","secondary","no","Low","no","no","unknown","no"
"50s","housemaid","married","primary","no","Low","no","no","unknown","no"
"20s","management","married","tertiary","no","Medium","no","no","unknown","no"
"40s","management","married","secondary","no","Low","no","no","unknown","no"
"50s","blue-collar","married","primary","no","Medium","no","no","unknown","no"
"40s","services","married","secondary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","no","unknown","no"
"30s","management","divorced","secondary","no","Negative","no","yes","unknown","no"
"50s","admin.","married","secondary","no","Medium","no","no","unknown","no"
"30s","self-employed","married","secondary","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"30s","unknown","married","primary","no","High","no","no","unknown","no"
"50s","management","divorced","secondary","no","Low","no","no","unknown","no"
"50s","technician","divorced","secondary","no","Low","no","no","unknown","no"
"30s","technician","married","secondary","no","Low","no","no","unknown","yes"
"30s","technician","single","tertiary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","no","no","unknown","no"
"30s","housemaid","married","secondary","no","Medium","no","no","unknown","no"
"40s","management","divorced","tertiary","no","Low","no","no","unknown","no"
"40s","admin.","married","secondary","no","Low","no","no","unknown","no"
"40s","technician","single","tertiary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Medium","no","no","unknown","no"
"30s","technician","divorced","secondary","no","Low","yes","no","unknown","no"
"30s","technician","single","secondary","no","Medium","no","yes","unknown","yes"
"50s","management","married","tertiary","no","Negative","no","no","unknown","no"
"20s","management","married","tertiary","no","Medium","no","no","unknown","no"
"50s","retired","married","secondary","no","Low","no","no","unknown","no"
"20s","management","single","tertiary","no","High","no","no","unknown","no"
"30s","technician","single","secondary","no","Low","no","no","unknown","no"
"50s","services","married","secondary","no","Low","no","no","unknown","no"
"40s","management","married","tertiary","no","Negative","no","no","unknown","no"
"30s","technician","single","tertiary","no","Negative","yes","no","unknown","no"
"40s","management","married","tertiary","no","High","yes","no","unknown","no"
"30s","technician","married","secondary","no","Low","no","no","unknown","no"
"40s","technician","single","tertiary","no","Medium","no","no","unknown","no"
"40s","management","married","tertiary","no","Low","no","no","unknown","no"
"50s","retired","married","primary","no","Low","no","no","unknown","no"
"30s","technician","single","secondary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","no","yes","unknown","no"
"40s","unemployed","single","tertiary","no","Negative","yes","no","unknown","no"
"30s","management","married","tertiary","no","High","no","no","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"40s","services","married","secondary","no","Low","no","yes","unknown","no"
"30s","technician","married","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","no","no","unknown","no"
"40s","management","divorced","secondary","no","Negative","no","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","no","no","unknown","no"
"50s","retired","married","secondary","no","Low","no","no","unknown","no"
"50s","retired","married","primary","no","Negative","yes","no","unknown","no"
"40s","management","married","tertiary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Medium","yes","yes","unknown","no"
"30s","management","married","tertiary","no","Medium","no","no","unknown","no"
"30s","technician","single","secondary","no","Low","no","yes","unknown","no"
"40s","self-employed","married","secondary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","secondary","no","Medium","yes","no","unknown","no"
"40s","self-employed","married","secondary","no","Medium","no","yes","unknown","no"
"30s","self-employed","married","tertiary","no","Medium","no","no","unknown","yes"
"30s","management","single","tertiary","no","Medium","no","yes","unknown","no"
"40s","blue-collar","married","primary","no","Low","no","yes","unknown","no"
"50s","retired","married","primary","no","Medium","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"30s","technician","single","secondary","yes","Negative","yes","no","unknown","no"
"40s","entrepreneur","married","secondary","no","Medium","yes","no","unknown","no"
"50s","technician","married","tertiary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","no","no","unknown","yes"
"50s","management","married","tertiary","no","Low","no","no","unknown","no"
"30s","management","single","tertiary","no","Low","no","no","unknown","no"
"30s","technician","single","tertiary","no","Medium","no","no","unknown","no"
"40s","admin.","married","primary","no","Medium","yes","no","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Medium","no","no","unknown","no"
"50s","technician","married","secondary","no","Low","no","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","secondary","no","Negative","no","no","unknown","no"
"30s","self-employed","married","primary","no","Low","yes","no","unknown","no"
"40s","management","single","tertiary","no","Low","no","yes","unknown","no"
"40s","technician","divorced","secondary","no","Low","yes","no","unknown","no"
"30s","management","single","tertiary","no","High","no","no","unknown","no"
"50s","retired","married","secondary","no","Low","no","yes","unknown","no"
"40s","self-employed","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","no","no","unknown","no"
"40s","admin.","married","secondary","no","Negative","no","yes","unknown","no"
"30s","technician","married","secondary","no","Medium","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"20s","technician","single","tertiary","no","Medium","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","no","unknown","no"
"40s","technician","married","secondary","no","Extra","yes","no","unknown","no"
"30s","management","single","tertiary","no","Low","no","no","unknown","no"
"30s","technician","single","tertiary","no","Low","yes","no","unknown","no"
"30s","technician","married","secondary","no","Negative","no","yes","unknown","no"
"50s","technician","married","secondary","no","Medium","no","no","unknown","no"
"40s","housemaid","married","primary","no","Negative","no","no","unknown","no"
"30s","unknown","married","unknown","no","Medium","no","no","unknown","no"
"30s","student","divorced","secondary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Negative","no","no","unknown","no"
"40s","blue-collar","married","primary","yes","Low","no","no","unknown","no"
"40s","retired","married","secondary","no","Low","no","yes","unknown","no"
"50s","entrepreneur","married","tertiary","no","Extra","no","no","unknown","no"
"40s","technician","married","tertiary","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"40s","management","single","secondary","no","Low","no","no","unknown","no"
"30s","technician","married","secondary","no","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Negative","no","no","unknown","no"
"40s","technician","divorced","secondary","no","Low","no","no","unknown","no"
"40s","management","married","tertiary","no","High","no","no","unknown","no"
"40s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"30s","technician","married","tertiary","no","Low","no","no","unknown","no"
"50s","admin.","married","unknown","no",NA,"no","no","unknown","no"
"40s","housemaid","married","primary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Medium","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","no","yes","unknown","no"
"40s","housemaid","married","primary","no","Medium","no","no","unknown","no"
"40s","management","divorced","tertiary","no","Low","no","yes","unknown","no"
"30s","technician","married","secondary","no","Low","no","no","unknown","no"
"40s","management","married","tertiary","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"40s","services","married","secondary","no","Low","yes","no","unknown","no"
"30s","management","single","tertiary","no","Medium","yes","yes","unknown","no"
"30s","technician","married","tertiary","no","Low","no","no","unknown","no"
"40s","management","married","tertiary","no","Medium","no","no","unknown","no"
"30s","services","married","secondary","no","High","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Negative","no","no","unknown","no"
"40s","technician","married","secondary","no","Negative","no","no","unknown","no"
"50s","blue-collar","married","primary","no","Medium","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","yes","unknown","no"
"50s","technician","married","secondary","no","Medium","no","no","unknown","no"
"40s","technician","married","secondary","no","Negative","no","no","unknown","no"
"20s","management","single","tertiary","no","Low","no","no","unknown","no"
"30s","management","single","tertiary","no","Negative","no","no","unknown","no"
"40s","services","married","secondary","no","Medium","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Low","yes","no","unknown","yes"
"50s","blue-collar","married","primary","no","High","no","no","unknown","yes"
"20s","management","single","tertiary","no","High","no","no","unknown","yes"
"50s","technician","married","tertiary","no","Medium","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","High","yes","no","unknown","no"
"50s","retired","married","secondary","no","Negative","no","yes","unknown","no"
"30s","technician","married","secondary","no","Medium","no","yes","unknown","no"
"30s","technician","single","tertiary","no","Low","no","no","unknown","no"
"50s","services","married","tertiary","no","Negative","no","no","unknown","no"
"30s","technician","married","tertiary","no","Low","no","no","unknown","no"
"50s","management","married","tertiary","no","Extra","no","no","unknown","no"
"30s","management","divorced","secondary","no","Low","no","no","unknown","no"
"40s","admin.","married","secondary","no","Negative","no","no","unknown","no"
"40s","blue-collar","married","unknown","no","Medium","no","no","unknown","no"
"30s","technician","married","secondary","no","Medium","yes","no","unknown","no"
"40s","blue-collar","married","unknown","no","Medium","no","no","unknown","no"
"50s","housemaid","married","primary","no","Low","no","no","unknown","no"
"40s","admin.","married","secondary","no","Low","no","yes","unknown","no"
"30s","admin.","single","tertiary","no","Medium","no","no","unknown","no"
"40s","management","married","tertiary","no","Extra","no","no","unknown","no"
"40s","management","married","tertiary","no","Negative","yes","no","unknown","no"
"40s","technician","divorced","secondary","no","Low","no","no","unknown","no"
"30s","management","single","tertiary","no","Medium","no","no","unknown","no"
"50s","entrepreneur","married","secondary","no","Negative","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","no","no","unknown","no"
"40s","management","single","tertiary","no","Negative","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","secondary","no","Medium","yes","yes","unknown","no"
"30s","entrepreneur","single","secondary","no","Low","no","no","unknown","no"
"30s","student","single","tertiary","no","Low","yes","no","unknown","no"
"20s","technician","married","tertiary","no","Medium","no","no","unknown","no"
"30s","management","married","tertiary","no","Negative","yes","no","unknown","no"
"50s","technician","divorced","secondary","yes","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"30s","technician","single","secondary","no","Low","no","no","unknown","no"
"30s","housemaid","married","primary","no","Medium","yes","no","unknown","no"
"30s","technician","divorced","tertiary","no","Low","yes","no","unknown","yes"
"40s","technician","married","secondary","no","Low","no","no","unknown","no"
"40s","technician","married","tertiary","no","Medium","no","no","unknown","no"
"30s","technician","divorced","tertiary","no","Low","yes","yes","unknown","no"
"40s","technician","married","secondary","no","Medium","no","no","unknown","no"
"50s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"30s","technician","married","secondary","no","Medium","no","no","unknown","no"
"50s","self-employed","married","primary","no","Low","no","yes","unknown","no"
"30s","technician","single","secondary","no","Medium","no","no","unknown","yes"
"30s","technician","married","secondary","no","Low","no","no","unknown","no"
"40s","admin.","married","secondary","no","Medium","no","no","unknown","yes"
"20s","housemaid","single","tertiary","no","Low","no","no","unknown","no"
"30s","technician","married","tertiary","no","Medium","yes","no","unknown","no"
"50s","unemployed","married","secondary","no","Medium","no","no","unknown","no"
"30s","admin.","married","secondary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","yes","yes","unknown","no"
"40s","technician","married","tertiary","no","Medium","no","no","unknown","no"
"20s","technician","married","secondary","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"50s","technician","divorced","secondary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","no","no","unknown","no"
"30s","management","single","tertiary","no","High","yes","no","unknown","no"
"40s","technician","single","secondary","no","Negative","no","yes","unknown","no"
"30s","management","single","tertiary","no","Low","no","yes","unknown","no"
"30s","technician","single","secondary","no","Low","no","no","unknown","no"
"30s","entrepreneur","married","tertiary","no","Low","no","no","unknown","no"
"30s","technician","married","secondary","no","Low","yes","no","unknown","no"
"30s","technician","single","secondary","no","Low","yes","no","unknown","no"
"40s","self-employed","married","secondary","no","Medium","yes","no","unknown","no"
"50s","management","single","tertiary","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","Medium","no","no","unknown","no"
"40s","technician","single","secondary","no","Low","no","yes","unknown","no"
"50s","technician","married","secondary","no","Low","no","no","unknown","no"
"30s","technician","married","secondary","no","Low","no","no","unknown","no"
"40s","admin.","married","secondary","no","Low","no","no","unknown","no"
"50s","admin.","married","unknown","no","Low","no","no","unknown","no"
"50s","retired","married","secondary","no","Low","no","no","unknown","no"
"50s","technician","married","tertiary","no","Low","no","no","unknown","no"
"50s","management","married","tertiary","no","Medium","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","yes","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","no","unknown","no"
"50s","retired","divorced","secondary","no","Low","no","no","unknown","no"
"40s","technician","married","secondary","no","Medium","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","Medium","yes","no","unknown","no"
"30s","technician","divorced","secondary","no","Negative","no","no","unknown","yes"
"50s","management","married","tertiary","no","Negative","no","no","unknown","no"
"50s","housemaid","married","primary","no","Low","no","no","unknown","no"
"40s","technician","divorced","secondary","no","Medium","no","no","unknown","no"
"40s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"30s","technician","married","tertiary","no","Medium","no","no","unknown","no"
"50s","services","married","secondary","no","Negative","yes","no","unknown","no"
"40s","blue-collar","married","primary","no","Low","no","no","unknown","no"
"40s","management","married","secondary","no","Extra","no","no","unknown","no"
"30s","management","married","tertiary","no","Medium","no","no","unknown","no"
"50s","admin.","married","secondary","no","Medium","no","yes","unknown","no"
"30s","technician","single","secondary","no","Low","no","no","unknown","no"
"40s","blue-collar","married","primary","no","Medium","yes","no","unknown","yes"
"50s","management","married","tertiary","no","Negative","no","no","unknown","yes"
"40s","blue-collar","married","primary","no","Negative","yes","no","unknown","no"
"30s","technician","single","tertiary","no","Negative","no","no","unknown","no"
"30s","admin.","married","secondary","no","Low","no","yes","unknown","no"
"30s","management","single","tertiary","no","Low","no","no","unknown","no"
"50s","admin.","married","secondary","yes","Negative","no","no","unknown","no"
"30s","management","married","tertiary","no","Medium","no","no","unknown","no"
"30s","management","single","tertiary","no","Medium","no","no","unknown","no"
"50s","retired","married","secondary","no","Low","no","no","unknown","no"
"20s","technician","single","secondary","no","Negative","no","yes","unknown","no"
"30s","technician","married","secondary","no","Low","no","no","unknown","no"
"40s","management","married","secondary","no","Low","yes","no","unknown","no"
"40s","admin.","married","secondary","no","Medium","no","no","unknown","no"
"30s","technician","married","secondary","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","Medium","no","no","unknown","no"
"30s","management","married","secondary","no","Low","no","yes","unknown","no"
"30s","technician","single","secondary","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"30s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"50s","retired","married","secondary","no","Negative","no","no","unknown","no"
"30s","management","single","tertiary","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","no","no","unknown","no"
"50s","self-employed","married","secondary","no","High","no","no","unknown","no"
"20s","technician","single","secondary","no","Negative","no","no","unknown","no"
"50s","management","married","tertiary","no","Low","no","no","unknown","no"
"30s","technician","married","tertiary","no","Medium","no","no","unknown","no"
"30s","technician","married","secondary","no","Medium","no","yes","unknown","no"
"40s","management","single","tertiary","no","Low","no","no","unknown","no"
"40s","management","married","tertiary","no","Medium","no","no","unknown","no"
"40s","management","married","tertiary","no","Low","no","no","unknown","no"
"20s","self-employed","married","tertiary","no","Low","no","no","unknown","no"
"30s","housemaid","married","secondary","no","Medium","no","no","unknown","no"
"50s","management","married","tertiary","no","Low","no","no","unknown","no"
"40s","retired","married","secondary","no","Low","yes","yes","unknown","no"
"50s","unknown","married","tertiary","no","Low","no","no","unknown","no"
"30s","technician","single","tertiary","no","Low","no","no","unknown","no"
"50s","technician","single","secondary","no","Low","no","no","unknown","no"
"40s","services","married","secondary","no","High","no","no","unknown","no"
"30s","technician","single","secondary","no","High","no","yes","unknown","no"
"40s","management","married","tertiary","no","Medium","no","no","unknown","no"
"40s","management","married","tertiary","no","High","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","Medium","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","housemaid","married","primary","no","Medium","no","no","unknown","no"
"20s","technician","married","tertiary","no","Extra","no","no","unknown","no"
"40s","technician","married","secondary","no","Low","no","no","unknown","no"
"40s","self-employed","married","tertiary","no","Negative","yes","yes","unknown","no"
"30s","technician","married","secondary","no","Negative","yes","no","unknown","no"
"40s","technician","married","secondary","no","Low","yes","no","unknown","no"
"50s","housemaid","married","tertiary","no","Medium","no","no","unknown","no"
"40s","housemaid","married","primary","no","Medium","no","no","unknown","no"
"30s","technician","single","secondary","no","Low","no","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","yes","yes","unknown","no"
